	xKooFuss_d	yKooFuss_d	Formcode	Ra_Di_cm	Breit_cm	Objekt	Kopf_LV95_	Kopf_LV951	Fuss_LV95_	Fuss_LV951	AnzJR_Best	Mark_Best	WK_Best	Splint_Bes	Art_Best	DcEign	DmRek	mindDM	LabNr	Dat	Gte	DG	x	y
1712.00000000000	489.25	141.90	1.00	11.00	11.00	P	2683684.8397	1246667.6572	2683684.50	1246667.40	28.00	m	4	0.00	1	4	22.00						2683684.50	1246667.40
12239.00000000000	508.65	148.78	1.00	6.00	7.00	P			2683698.74	1246682.26	19.00	m	4	0.00	5	4	0.00	12					2683698.75	1246682.26
27329.00000000000	484.79	139.32	1.00	14.50	6.00	P			2683681.67	1246663.09	56.00	mn		0.00	1	2	0.00	32	657650	-3208	b		2683681.67	1246663.09
19924.00000000000	491.46	129.20	1.00	7.50	9.00	P			2683692.18	1246657.04	16.00		3	1.00	1	4	16.00						2683692.17	1246657.04
8120.00000000000	503.49	171.38	1.00	7.00	4.50	P			2683683.98	1246700.13	22.00			1.00	1	4	21.00						2683683.98	1246700.13
25703.00000000000	475.35	141.25	1.00	13.00	8.00	P			2683672.37	1246660.57	0.00		3	1.00	1	1	26.00		657787	-3175	a	10	2683672.38	1246660.57
27378.00000000000	484.90	135.24	1.00	9.50	5.50	P			2683683.61	1246659.49	25.00		3	1.00	1	4	21.00		658223	-3175	b	1000	2683683.61	1246659.49
10492.00000000000	508.29	152.68	1.00	11.00	5.50	P			2683696.67	1246685.58	0.00		5	0.00	7	2	0.00	22					2683696.67	1246685.58
19136.00000000000	513.64	125.80	1.00	5.00	6.00	P			2683713.53	1246663.97	17.00		4	0.00	5	4	0.00	10					2683713.53	1246663.97
13258.00000000000	527.95	126.73	1.00	4.00	4.00	P			2683725.89	1246671.22	13.00	m	5	0.00	5	4	8.00						2683725.89	1246671.23
22996.00000000000	477.58	158.00	1.00	8.00	4.00	P			2683666.84	1246676.54	0.00		3	1.00	1	3	17.00						2683666.84	1246676.54
16080.00000000000	510.70	102.36	1.00	11.50	9.00	P			2683721.42	1246641.71	34.00	mn	5	1.00	1	3	23.00						2683721.42	1246641.71
16408.00000000000	510.02	101.13	1.00	11.00	7.00	P			2683721.37	1246640.30	25.00	m	5	1.00	1	4	19.00						2683721.37	1246640.30
21786.00000000000	517.11	128.11	1.00	8.00	1.50	P			2683715.59	1246667.59	10.00			0.00	5	4	0.00	13					2683715.59	1246667.59
20929.00000000000	512.92	128.04	1.00	12.00	8.50	P			2683711.87	1246665.65	0.00		3	1.00	1	1	24.00		657102	-2752	a	83	2683711.87	1246665.65
12757.00000000000	497.32	170.96	1.00	18.00	6.50	P			2683678.66	1246696.99	0.00	m		0.00	1	1	0.00	36	655878	-3199	a	12	2683678.66	1246696.99
12200.00000000000	499.43	165.72	1.00	13.00	10.00	P			2683682.90	1246693.25	36.00			1.00	1	3	24.00		655888	0	u	15	2683682.90	1246693.25
8760.00000000000	477.27	177.48	1.00	17.00	8.00	P			2683657.82	1246693.80	50.00			1.00	1	3	40.00		656674	-3183	b		2683657.82	1246693.80
